Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100n","C_0805_2012Metric",67.900030,-64.000000,90.000000,top
"C2","0-80p","C_Trimmer_Voltronics_JR",91.000000,-49.875000,-90.000000,top
"C3","10p","C_0805_2012Metric",94.000000,-49.875000,-90.000000,top
"C4","150p","C_0805_2012Metric",83.500000,-38.050000,90.000000,top
"C5","220p","C_0805_2012Metric",86.000000,-38.050000,90.000000,top
"C6","33p","C_0805_2012Metric",93.000000,-57.000000,90.000000,top
"C7","33p","C_0805_2012Metric",101.257327,-56.969120,90.000000,top
"C8","100n","C_0805_2012Metric",87.610430,-52.502916,90.000000,top
"C9","100n","C_0805_2012Metric",84.765778,-63.712457,-90.000000,top
"C10","0-80p","C_Trimmer_Voltronics_JR",73.000000,-50.261252,-90.000000,top
"C11","10p","C_0805_2012Metric",70.000000,-50.261252,-90.000000,top
"C12","220p","C_0805_2012Metric",80.587500,-38.050000,90.000000,top
"C13","270p","C_0805_2012Metric",78.087500,-38.050000,90.000000,top
"C14","2.4n","C_0805_2012Metric",85.000000,-76.000000,180.000000,top
"C15","620p","C_0805_2012Metric",93.000000,-76.000000,0.000000,top
"C16","100n","C_0805_2012Metric",87.000000,-73.050000,90.000000,top
"C17","240p","C_0805_2012Metric",96.000000,-73.000000,90.000000,top
"C18","2.7u","C_0805_2012Metric",74.000000,-113.000000,-90.000000,top
"C19","470p","C_0805_2012Metric",99.000000,-73.000000,90.000000,top
"C20","100p","C_0805_2012Metric",76.950000,-98.000000,0.000000,top
"C21","100n","C_0805_2012Metric",96.000000,-88.912500,-90.000000,top
"C22","10u","C_0805_2012Metric",93.000000,-88.912500,-90.000000,top
"C23","10n","C_0805_2012Metric",70.050000,-98.000000,180.000000,top
"C24","100n","C_0805_2012Metric",101.000000,-83.000000,90.000000,top
"C25","10u","C_0805_2012Metric",98.000000,-83.000000,90.000000,top
"C26","10n","C_0805_2012Metric",70.000000,-109.980000,90.000000,top
"C27","100n","C_0805_2012Metric",97.371665,-105.370166,-90.000000,top
"C28","10u","C_0805_2012Metric",96.000000,-95.000000,-90.000000,top
"C29","10n","C_0805_2012Metric",72.000000,-89.000000,-90.000000,top
"C30","10n","C_0805_2012Metric",67.000000,-105.380451,-90.000000,top
"C31","1.2n","C_0805_2012Metric",87.000000,-94.950000,-90.000000,top
"C32","100n","C_0805_2012Metric",71.454546,-79.446611,90.000000,top
"C33","1u","C_0805_2012Metric",78.000000,-89.000000,-90.000000,top
"C34","470p","C_0805_2012Metric",72.000000,-73.000000,-90.000000,top
"C35","10n","C_0805_2012Metric",78.000000,-73.050000,90.000000,top
"C36","100n","C_0805_2012Metric",88.950000,-76.000000,180.000000,top
"C37","100n","C_0805_2012Metric",73.575304,-97.279069,90.000000,top
"C39","1u","C_0805_2012Metric",95.000000,-120.000000,-90.000000,top
"C40","100u","C_0805_2012Metric",101.000000,-120.050000,-90.000000,top
"C41","1u","C_0805_2012Metric",91.000000,-110.000000,180.000000,top
"C42","1u","C_0805_2012Metric",86.950000,-110.000000,0.000000,top
"D1","1N4002","D_0805_2012Metric",102.000000,-113.000000,90.000000,top
"D2","RED","LED_0805_2012Metric",79.359691,-121.000000,0.000000,top
"FB1","FerriteBead_Small","L_0805_2012Metric",87.150000,-112.912500,180.000000,top
"J1","Conn_01x08_Pin","PinHeader_1x08_P2.54mm_Vertical",61.000000,-86.920000,0.000000,top
"J2","AudioJack3","Jack_3.5mm_Switronic_ST-005-G_horizontal",64.000000,-116.500000,0.000000,top
"J3","V+GND","PinHeader_1x02_P2.54mm_Vertical",80.757191,-124.000000,90.000000,top
"JP1","Jumper_2_Open","R_0805_2012Metric",91.000000,-113.000000,180.000000,top
"L1","1m","L_0805_2012Metric",84.500000,-42.000000,0.000000,top
"L2","3m","L_0805_2012Metric",79.087500,-42.000000,180.000000,top
"R1","4.7M","R_0805_2012Metric",84.500000,-44.500000,0.000000,top
"R2","10k","R_0805_2012Metric",87.500000,-43.500000,90.000000,top
"R3","4.7M","R_0805_2012Metric",95.268380,-60.123518,180.000000,top
"R4","2.2k","R_0805_2012Metric",99.180880,-60.123518,0.000000,top
"R5","4.7M","R_0805_2012Metric",79.087500,-44.500000,0.000000,top
"R6","10k","R_0805_2012Metric",76.087500,-43.500000,90.000000,top
"R7","27k","R_0805_2012Metric",90.000000,-73.000000,-90.000000,top
"R8","100k","R_0805_2012Metric",93.000000,-73.000000,-90.000000,top
"R9","51k","R_0805_2012Metric",84.000000,-73.050000,90.000000,top
"R10","100k","R_0805_2012Metric",81.000000,-73.000000,-90.000000,top
"R11","10k","R_0805_2012Metric",87.000000,-88.912500,-90.000000,top
"R12","10k","R_0805_2012Metric",90.000000,-88.912500,90.000000,top
"R13","5k","R_0805_2012Metric",94.000000,-86.000000,180.000000,top
"R14","20k","R_0805_2012Metric",76.950000,-95.000000,0.000000,top
"R15","10k","R_0805_2012Metric",70.087500,-95.000000,180.000000,top
"R16","10k","R_0805_2012Metric",67.000000,-109.980000,90.000000,top
"R17","20k","R_0805_2012Metric",93.000000,-94.950000,-90.000000,top
"R18","10k","R_0805_2012Metric",75.000000,-89.000000,90.000000,top
"R19","10k","R_0805_2012Metric",67.000000,-101.380451,-90.000000,top
"R20","220","R_0805_2012Metric",90.000000,-94.950000,-90.000000,top
"R21","10k","R_0805_2012Metric",69.000000,-73.000000,90.000000,top
"R22","6.8k","R_0805_2012Metric",75.000000,-73.000000,90.000000,top
"R23","10k","R_0805_2012Metric",63.000000,-73.050000,90.000000,top
