"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C8,C9,C16,C21,C24,C27,C32,C36,C37","10","100n","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C2,C10","2","0-80p","","","","Capacitor_SMD:C_Trimmer_Voltronics_JR","~"
"C3,C11","2","10p","DNP","","","Capacitor_SMD:C_0805_2012Metric","~"
"C4","1","150p","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C5,C12","2","220p","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C6,C7","2","33p","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C13","1","270p","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C14","1","2.4n","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C15","1","620p","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C17","1","240p","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C18","1","2.7u","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C19,C34","2","470p","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C20","1","100p","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C22,C25,C28","3","10u","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C23,C29,C30","3","10n","DNP","","","Capacitor_SMD:C_0805_2012Metric","~"
"C26,C35","2","10n","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C31","1","1.2n","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C33,C39,C41","3","1u","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C40","1","100u","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C42","1","1u","DNP","","","Capacitor_SMD:C_0805_2012Metric","~"
"D1","1","1N4002","","","","Diode_SMD:D_0805_2012Metric","http://www.vishay.com/docs/88503/1n4001.pdf"
"D2","1","RED","","","","LED_SMD:LED_0805_2012Metric","~"
"FB1","1","FerriteBead_Small","DNP","","","Inductor_SMD:L_0805_2012Metric","~"
"H1,H2,H3,H4","4","MountingHole","","Excluded from BOM","","MountingHole:MountingHole_2.2mm_M2","~"
"J1","1","Conn_01x08_Pin","","","","Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical","~"
"J2","1","AudioJack3","","","","Connector_Audio:Jack_3.5mm_Switronic_ST-005-G_horizontal","~"
"J3","1","PWR","","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"JP1","1","Jumper_2_Open","","","","Resistor_SMD:R_0805_2012Metric","~"
"L1","1","1m","","","","Capacitor_THT:CP_Radial_Tantal_D8.0mm_P5.00mm","~"
"L2","1","3m","","","","Capacitor_THT:CP_Radial_Tantal_D8.0mm_P5.00mm","~"
"R1,R3,R5","3","4.7M","","","","Resistor_SMD:R_0805_2012Metric","~"
"R2,R6,R11,R12,R16,R19,R21,R23,R29","9","10k","","","","Resistor_SMD:R_0805_2012Metric","~"
"R4,R27","2","2.2k","","","","Resistor_SMD:R_0805_2012Metric","~"
"R7","1","27k","","","","Resistor_SMD:R_0805_2012Metric","~"
"R8,R10,R24","3","100k","","","","Resistor_SMD:R_0805_2012Metric","~"
"R9","1","51k","","","","Resistor_SMD:R_0805_2012Metric","~"
"R13","1","5k","","","","Resistor_SMD:R_0805_2012Metric","~"
"R14,R17,R26","3","20k","","","","Resistor_SMD:R_0805_2012Metric","~"
"R15,R18","2","10k","DNP","","","Resistor_SMD:R_0805_2012Metric","~"
"R20","1","220","","","","Resistor_SMD:R_0805_2012Metric","~"
"R22","1","6.8k","","","","Resistor_SMD:R_0805_2012Metric","~"
"R25","1","47k","","","","Resistor_SMD:R_0805_2012Metric","~"
"R28","1","560","","","","Resistor_SMD:R_0805_2012Metric","~"
"R30","1","1.2k","","","","Resistor_SMD:R_0805_2012Metric","~"
"RV1","1","50k","","","","Potentiometer_SMD:Potentiometer_Bourns_3224W_Vertical","~"
"RV2","1","5k","","","","Potentiometer_SMD:Potentiometer_Bourns_3224W_Vertical","~"
"TP1","1","PITCH_OUT","","","","TestPoint:TestPoint_Pad_2.0x2.0mm","~"
"TP2","1","PITCH_REF","","","","TestPoint:TestPoint_Pad_2.0x2.0mm","~"
"TP3","1","VOL_REF","","","","TestPoint:TestPoint_Pad_2.0x2.0mm","~"
"TP4","1","PITCH","","","","TestPoint:TestPoint_THTPad_4.0x4.0mm_Drill2.0mm","~"
"TP5","1","VOL_OUT","","","","TestPoint:TestPoint_Pad_2.0x2.0mm","~"
"TP6","1","VOL","","","","TestPoint:TestPoint_THTPad_4.0x4.0mm_Drill2.0mm","~"
"TP7","1","AUDIO","","","","TestPoint:TestPoint_Pad_2.0x2.0mm","~"
"TP8","1","GND","","","","TestPoint:TestPoint_Pad_2.0x2.0mm","~"
"TP9","1","ANA_REF","","","","TestPoint:TestPoint_Pad_2.0x2.0mm","~"
"TP10","1","VOL_CV","","","","TestPoint:TestPoint_Pad_2.0x2.0mm","~"
"TP11","1","V+","","","","TestPoint:TestPoint_THTPad_4.0x4.0mm_Drill2.0mm","~"
"TP12","1","VDD_ANA","","","","TestPoint:TestPoint_Pad_2.0x2.0mm","~"
"TP13","1","GND","","","","TestPoint:TestPoint_THTPad_4.0x4.0mm_Drill2.0mm","~"
"U1","1","4070","","","","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","http://www.intersil.com/content/dam/Intersil/documents/cd40/cd4070bms-77bms.pdf"
"U2","1","40106","","","","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","https://assets.nexperia.com/documents/data-sheet/HEF40106B.pdf"
"U3","1","4060B","","","","Package_SO:SOP-16_3.9x9.9mm_P1.27mm","https://www.st.com/resource/en/datasheet/m74hc4060.pdf"
"U4,U5","2","OPA1679","","","","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","http://www.ti.com/lit/ds/symlink/opa1678.pdf"
"U6","1","SSI2164","","","","Package_SO:SOIC-16_3.9x9.9mm_P1.27mm","http://www.soundsemiconductor.com/downloads/ssi2164datasheet.pdf"
"U7","1","LM331N","","","","Package_SO:SOP-8_3.9x4.9mm_P1.27mm","https://www.ti.com/lit/gpn/lm331"
"U8","1","LM317_SOT-223","","","","Package_TO_SOT_SMD:SOT-223-3_TabPin2","http://www.ti.com/lit/ds/symlink/lm317.pdf"
"Y1","1","8MHz","","","","Crystal:Crystal_SMD_5032-2Pin_5.0x3.2mm","~"
